review_id,text,source,item,true_sentiment,review_date,clean_text,vader_compound,textblob_polarity,textblob_subjectivity,ensemble_score,predicted_sentiment,joy,anger,sadness,fear,trust,surprise,dominant_emotion,total_emotion_words
REV100010,"Worst wireless headphones I have ever bought, total regret.!!",Facebook Comment,wireless headphones,negative,2024-01-24,"Worst wireless headphones I have ever bought, total regret.!!",-0.8306,-0.5,0.875,-0.6984,negative,0,0,1,0,0,0,sadness,1
REV100011,Comparing the water bottle to similar products on the market now.,Facebook Comment,water bottle,neutral,2024-09-14,Comparing the water bottle to similar products on the market now.,0.0,0.0,0.4,0.0,neutral,0,0,0,0,0,0,none,0
REV100012,"Disappointing laptop stand, definitely returning it. :(",Product Forum,laptop stand,negative,2024-03-16,"Disappointing laptop stand, definitely returning it. :(",-0.5267,-0.45,0.7333,-0.496,negative,0,0,1,0,0,0,sadness,1
REV100013,Comparing the backpack to similar products on the market now.,Facebook Comment,backpack,neutral,2024-11-14,Comparing the backpack to similar products on the market now.,0.0,0.0,0.4,0.0,neutral,0,0,0,0,0,0,none,0
REV100014,"I'm so disappointed with this mobile app, complete waste of money. Never again.",Product Forum,mobile app,negative,2024-11-28,"I'm so disappointed with this mobile app, complete waste of money. Never again.",-0.7346,-0.2833,0.3833,-0.5541,negative,0,0,1,0,0,0,sadness,1
REV100015,"Very frustrated with the smartphone case, it never worked as advertised. :(",Amazon Review,smartphone case,negative,2024-08-24,"Very frustrated with the smartphone case, it never worked as advertised. :(",-0.7645,-0.83,0.63,-0.7907,negative,0,1,0,0,0,0,anger,1
REV100016,"The electric toothbrush does what it's supposed to do, nothing special.",Twitter/X Post,electric toothbrush,neutral,2024-06-17,"The electric toothbrush does what it's supposed to do, nothing special.",-0.3089,0.3571,0.5714,-0.0425,neutral,0,0,0,0,0,0,none,0
REV100017,"This restaurant chain is a game changer, I use it every single day.",News Headline,restaurant chain,positive,2024-11-27,"This restaurant chain is a game changer, I use it every single day.",0.0,-0.2357,0.3071,-0.0943,negative,0,0,0,0,0,0,none,0
REV100018,The desk lamp arrived quickly and the build quality is amazing.,Product Forum,desk lamp,positive,2024-02-14,The desk lamp arrived quickly and the build quality is amazing.,0.5859,0.4667,0.7,0.5382,positive,1,0,0,0,0,0,joy,1
REV100019,"Terrible air purifier, broke after just two days of use.",Amazon Review,air purifier,negative,2024-02-06,"Terrible air purifier, broke after just two days of use.",-0.7096,-1.0,1.0,-0.8258,negative,0,0,0,0,0,0,none,0
REV100020,"The streaming service is okay, not great but not bad either.",Twitter/X Post,streaming service,neutral,2024-03-04,"The streaming service is okay, not great but not bad either.",0.4728,0.15,0.6389,0.3437,positive,1,0,0,0,0,0,joy,1
REV100021,"This subscription plan is a game changer, I use it every single day.",Amazon Review,subscription plan,positive,2024-08-25,"This subscription plan is a game changer, I use it every single day.",0.0,-0.2357,0.3071,-0.0943,negative,0,0,0,0,0,0,none,0
REV100022,"The laptop stand is okay, not great but not bad either.",Facebook Comment,laptop stand,neutral,2024-06-26,"The laptop stand is okay, not great but not bad either.",0.4728,0.15,0.6389,0.3437,positive,1,0,0,0,0,0,joy,1
REV100023,Considering whether to keep the airline or exchange it.,Twitter/X Post,airline,neutral,2024-02-20,Considering whether to keep the airline or exchange it.,0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100024,"Absolutely love this bluetooth speaker, it exceeded all my expectations!",Facebook Comment,bluetooth speaker,positive,2024-11-14,"Absolutely love this bluetooth speaker, it exceeded all my expectations!",0.6989,0.625,0.6,0.6693,positive,1,0,0,0,0,0,joy,1
REV100025,What a wonderful bluetooth speaker! Great value for the price. Love it!,News Headline,bluetooth speaker,positive,2024-01-03,What a wonderful bluetooth speaker! Great value for the price. Love it!,0.9431,0.8083,0.7833,0.8892,positive,3,0,0,0,0,0,joy,3
REV100026,"The water bottle does what it's supposed to do, nothing special.",Amazon Review,water bottle,neutral,2024-11-09,"The water bottle does what it's supposed to do, nothing special.",-0.3089,0.3571,0.5714,-0.0425,neutral,0,0,0,0,0,0,none,0
REV100027,The customer service team was super helpful with my yoga mat order.,Amazon Review,yoga mat,positive,2024-05-14,The customer service team was super helpful with my yoga mat order.,0.7717,0.3333,0.6667,0.5964,positive,0,0,0,0,0,0,none,0
REV100028,"Just unboxed the delivery service, will update this review later.",Twitter/X Post,delivery service,neutral,2024-08-16,"Just unboxed the delivery service, will update this review later.",0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100029,"This backpack is a game changer, I use it every single day.",Product Forum,backpack,positive,2024-06-12,"This backpack is a game changer, I use it every single day.",0.0,-0.2357,0.3071,-0.0943,negative,0,0,0,0,0,0,none,0
REV100030,"Absolutely love this air purifier, it exceeded all my expectations!",Product Forum,air purifier,positive,2024-09-18,"Absolutely love this air purifier, it exceeded all my expectations!",0.6989,0.625,0.6,0.6693,positive,1,0,0,0,0,0,joy,1
REV100031,Great mobile app! My whole family loves it.,News Headline,mobile app,positive,2024-05-21,Great mobile app! My whole family loves it.,0.8439,0.6,0.575,0.7463,positive,1,0,0,0,0,0,joy,1
REV100032,"I'm so disappointed with this office chair, complete waste of money. Never again.",News Headline,office chair,negative,2024-03-04,"I'm so disappointed with this office chair, complete waste of money. Never again.",-0.7346,-0.2833,0.3833,-0.5541,negative,0,0,1,0,0,0,sadness,1
REV100033,The yoga mat arrived on time and matches the description.,News Headline,yoga mat,neutral,2024-05-18,The yoga mat arrived on time and matches the description.,0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100034,"Just unboxed the fitness tracker, will update this review later.",Twitter/X Post,fitness tracker,neutral,2024-08-29,"Just unboxed the fitness tracker, will update this review later.",0.2732,0.0,0.0,0.1639,positive,0,0,0,0,0,0,none,0
REV100035,The smartphone case has some pros and cons worth mentioning.,News Headline,smartphone case,neutral,2024-11-30,The smartphone case has some pros and cons worth mentioning.,0.2263,0.3,0.1,0.2558,positive,0,0,0,0,0,0,none,0
REV100036,"The laptop stand does what it's supposed to do, nothing special.",Twitter/X Post,laptop stand,neutral,2024-11-28,"The laptop stand does what it's supposed to do, nothing special.",-0.3089,0.3571,0.5714,-0.0425,neutral,0,0,0,0,0,0,none,0
REV100037,"I bought the fitness tracker last week, still testing it out.",Product Forum,fitness tracker,neutral,2024-11-29,"I bought the fitness tracker last week, still testing it out.",0.2732,0.0,0.0667,0.1639,positive,0,0,0,0,0,0,none,0
REV100038,What a wonderful smartphone case! Great value for the price.,Facebook Comment,smartphone case,positive,2024-03-29,What a wonderful smartphone case! Great value for the price.,0.8883,0.9,0.875,0.893,positive,2,0,0,0,0,0,joy,2
REV100039,"Terrible smartphone case, broke after just two days of use.",Product Forum,smartphone case,negative,2024-05-05,"Terrible smartphone case, broke after just two days of use.",-0.7096,-1.0,1.0,-0.8258,negative,0,0,0,0,0,0,none,0
REV100040,"Just unboxed the yoga mat, will update this review later.",Twitter/X Post,yoga mat,neutral,2024-09-05,"Just unboxed the yoga mat, will update this review later.",0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100041,What a wonderful software update! Great value for the price.,Product Forum,software update,positive,2024-08-31,What a wonderful software update! Great value for the price.,0.8883,0.9,0.875,0.893,positive,2,0,0,0,0,0,joy,2
REV100042,"I'm impressed by how well the desk lamp performs, truly outstanding. 😊",Product Forum,desk lamp,positive,2024-09-04,"I'm impressed by how well the desk lamp performs, truly outstanding.",0.9022,0.75,0.9375,0.8413,positive,2,0,0,0,0,0,joy,2
REV100043,Great water bottle! My whole family loves it.,Facebook Comment,water bottle,positive,2024-07-21,Great water bottle! My whole family loves it.,0.8439,0.6,0.575,0.7463,positive,1,0,0,0,0,0,joy,1
REV100044,"Absolutely love this fitness tracker, it exceeded all my expectations! 😊",News Headline,fitness tracker,positive,2024-06-30,"Absolutely love this fitness tracker, it exceeded all my expectations!",0.8171,0.625,0.6,0.7403,positive,1,0,0,0,0,0,joy,1
REV100045,"I'm impressed by how well the backpack performs, truly outstanding.",Product Forum,backpack,positive,2024-07-08,"I'm impressed by how well the backpack performs, truly outstanding.",0.9022,0.75,0.9375,0.8413,positive,2,0,0,0,0,0,joy,2
REV100046,"Very frustrated with the running shoes, it never worked as advertised.",Product Forum,running shoes,negative,2024-03-30,"Very frustrated with the running shoes, it never worked as advertised.",-0.5709,-0.91,0.26,-0.7065,negative,0,1,0,0,0,0,anger,1
REV100047,"The backpack is okay, not great but not bad either.",Facebook Comment,backpack,neutral,2024-07-31,"The backpack is okay, not great but not bad either.",0.4728,0.15,0.6389,0.3437,positive,1,0,0,0,0,0,joy,1
REV100048,"Disappointing kitchen blender, definitely returning it. 😡",Twitter/X Post,kitchen blender,negative,2024-03-11,"Disappointing kitchen blender, definitely returning it.",-0.128,-0.3,0.6,-0.1968,negative,0,0,1,0,0,0,sadness,1
REV100049,"I'm so disappointed with this gaming mouse, complete waste of money.",Twitter/X Post,gaming mouse,negative,2024-10-29,"I'm so disappointed with this gaming mouse, complete waste of money.",-0.7346,-0.2833,0.3833,-0.5541,negative,0,0,1,0,0,0,sadness,1
REV100050,"I bought the software update last week, still testing it out.",Amazon Review,software update,neutral,2024-04-17,"I bought the software update last week, still testing it out.",0.0,0.0,0.0667,0.0,neutral,0,0,0,0,0,0,none,0
REV100051,"This electric toothbrush is fantastic, best purchase I've made all year.",News Headline,electric toothbrush,positive,2024-08-31,"This electric toothbrush is fantastic, best purchase I've made all year.",0.8316,0.7,0.6,0.779,positive,2,0,0,0,0,0,joy,2
REV100053,"Awful experience with the desk lamp, would not recommend at all.",Facebook Comment,desk lamp,negative,2024-09-06,"Awful experience with the desk lamp, would not recommend at all.",-0.6261,-1.0,1.0,-0.7757,negative,0,0,0,0,1,0,trust,1
REV100054,Comparing the customer support experience to similar products on the market now.,Twitter/X Post,customer support experience,neutral,2024-08-16,Comparing the customer support experience to similar products on the market now.,0.4019,0.0,0.4,0.2411,positive,0,0,0,0,0,0,none,0
REV100055,"Just unboxed the gaming mouse, will update this review later.",News Headline,gaming mouse,neutral,2024-10-29,"Just unboxed the gaming mouse, will update this review later.",0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100056,Here is my honest review of the yoga mat after a week of use.,Twitter/X Post,yoga mat,neutral,2024-01-30,Here is my honest review of the yoga mat after a week of use.,0.5106,0.6,0.9,0.5464,positive,0,0,0,0,1,0,trust,1
REV100057,"Excellent fitness tracker, exactly as described and super reliable. Love it!",Twitter/X Post,fitness tracker,positive,2024-03-19,"Excellent fitness tracker, exactly as described and super reliable. Love it!",0.9348,0.5521,0.6292,0.7817,positive,2,0,0,0,1,0,joy,3
REV100058,"Received the delivery service today, packaging was standard.",Twitter/X Post,delivery service,neutral,2024-12-10,"Received the delivery service today, packaging was standard.",0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100059,Here is my honest review of the backpack after a week of use.,Product Forum,backpack,neutral,2024-11-10,Here is my honest review of the backpack after a week of use.,0.5106,0.6,0.9,0.5464,positive,0,0,0,0,1,0,trust,1
REV100060,The air purifier is overpriced for such low quality.,Twitter/X Post,air purifier,negative,2024-02-03,The air purifier is overpriced for such low quality.,-0.2732,0.0,0.4,-0.1639,negative,0,0,0,0,0,0,none,0
REV100061,What a wonderful yoga mat! Great value for the price.,Product Forum,yoga mat,positive,2024-03-15,What a wonderful yoga mat! Great value for the price.,0.8883,0.9,0.875,0.893,positive,2,0,0,0,0,0,joy,2
REV100062,"Five stars for the laptop stand, it changed the way I do things. 😊",Product Forum,laptop stand,positive,2024-01-18,"Five stars for the laptop stand, it changed the way I do things.",0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100063,"Awful experience with the kitchen blender, would not recommend at all.",Facebook Comment,kitchen blender,negative,2024-07-11,"Awful experience with the kitchen blender, would not recommend at all.",-0.6261,-1.0,1.0,-0.7757,negative,0,0,0,0,1,0,trust,1
REV100064,"The smartphone case works as expected, average performance overall.",Amazon Review,smartphone case,neutral,2024-03-28,"The smartphone case works as expected, average performance overall.",0.0,-0.0833,0.2667,-0.0333,neutral,0,0,0,0,0,0,none,0
REV100065,Highly recommend the gaming mouse to anyone looking for quality.,News Headline,gaming mouse,positive,2024-09-13,Highly recommend the gaming mouse to anyone looking for quality.,0.4201,0.16,0.54,0.3161,positive,0,0,0,0,1,0,trust,1
REV100066,"This office chair is a game changer, I use it every single day. Love it!",Product Forum,office chair,positive,2024-04-16,"This office chair is a game changer, I use it every single day. Love it!",0.6696,0.0512,0.4048,0.4222,positive,1,0,0,0,0,0,joy,1
REV100067,The customer service team was super helpful with my electric toothbrush order.,News Headline,electric toothbrush,positive,2024-01-22,The customer service team was super helpful with my electric toothbrush order.,0.7717,0.3333,0.6667,0.5964,positive,0,0,0,0,0,0,none,0
REV100068,"The delivery service does what it's supposed to do, nothing special.",Facebook Comment,delivery service,neutral,2024-10-26,"The delivery service does what it's supposed to do, nothing special.",-0.3089,0.3571,0.5714,-0.0425,neutral,0,0,0,0,0,0,none,0
REV100069,"Worst bluetooth speaker I have ever bought, total regret. :(",Product Forum,bluetooth speaker,negative,2024-06-28,"Worst bluetooth speaker I have ever bought, total regret. :(",-0.8852,-0.5833,0.9167,-0.7645,negative,0,0,1,0,0,0,sadness,1
REV100070,Comparing the smartphone case to similar products on the market now.,Amazon Review,smartphone case,neutral,2024-01-02,Comparing the smartphone case to similar products on the market now.,0.0,0.0,0.4,0.0,neutral,0,0,0,0,0,0,none,0
REV100073,This software update caused nothing but problems since day one.,Facebook Comment,software update,negative,2024-12-20,This software update caused nothing but problems since day one.,0.438,0.0,0.0,0.2628,positive,0,0,0,0,0,0,none,0
REV100074,"Excellent subscription plan, exactly as described and super reliable. :)",Product Forum,subscription plan,positive,2024-08-23,"Excellent subscription plan, exactly as described and super reliable. :)",0.891,0.5208,0.7292,0.7429,positive,1,0,0,0,1,0,joy,2
REV100075,This bluetooth speaker is poorly made and feels cheap.,Amazon Review,bluetooth speaker,negative,2024-05-19,This bluetooth speaker is poorly made and feels cheap.,0.0,0.0,0.65,0.0,neutral,0,0,0,0,0,0,none,0
REV100076,Highly recommend the software update to anyone looking for quality.,Facebook Comment,software update,positive,2024-12-23,Highly recommend the software update to anyone looking for quality.,0.4201,0.16,0.54,0.3161,positive,0,0,0,0,1,0,trust,1
REV100077,"Very frustrated with the delivery service, it never worked as advertised.!!",Twitter/X Post,delivery service,negative,2024-11-13,"Very frustrated with the delivery service, it never worked as advertised.!!",-0.6459,-1.0,0.26,-0.7875,negative,0,1,0,0,0,0,anger,1
REV100078,"The restaurant chain works as expected, average performance overall.",Product Forum,restaurant chain,neutral,2024-04-14,"The restaurant chain works as expected, average performance overall.",0.0,-0.0833,0.2667,-0.0333,neutral,0,0,0,0,0,0,none,0
REV100079,"The software update is okay, not great but not bad either.",Amazon Review,software update,neutral,2024-05-20,"The software update is okay, not great but not bad either.",0.4728,0.15,0.6389,0.3437,positive,1,0,0,0,0,0,joy,1
REV100080,"This gaming mouse is fantastic, best purchase I've made all year.",Amazon Review,gaming mouse,positive,2024-07-09,"This gaming mouse is fantastic, best purchase I've made all year.",0.8316,0.7,0.6,0.779,positive,2,0,0,0,0,0,joy,2
REV100081,Comparing the air purifier to similar products on the market now.,Product Forum,air purifier,neutral,2024-04-29,Comparing the air purifier to similar products on the market now.,0.0,0.0,0.4,0.0,neutral,0,0,0,0,0,0,none,0
REV100082,Considering whether to keep the mobile app or exchange it.,Product Forum,mobile app,neutral,2024-02-21,Considering whether to keep the mobile app or exchange it.,0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100083,The mobile app arrived quickly and the build quality is amazing.,Facebook Comment,mobile app,positive,2024-10-13,The mobile app arrived quickly and the build quality is amazing.,0.5859,0.4667,0.7,0.5382,positive,1,0,0,0,0,0,joy,1
REV100084,"Received the yoga mat today, packaging was standard.",Amazon Review,yoga mat,neutral,2024-05-17,"Received the yoga mat today, packaging was standard.",0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100085,What a wonderful water bottle! Great value for the price. 😊,Facebook Comment,water bottle,positive,2024-06-04,What a wonderful water bottle! Great value for the price.,0.8883,0.9,0.875,0.893,positive,2,0,0,0,0,0,joy,2
REV100086,The yoga mat is overpriced for such low quality.,Facebook Comment,yoga mat,negative,2024-12-30,The yoga mat is overpriced for such low quality.,-0.2732,0.0,0.4,-0.1639,negative,0,0,0,0,0,0,none,0
REV100087,Highly recommend the customer support experience to anyone looking for quality. 😊,Product Forum,customer support experience,positive,2024-03-21,Highly recommend the customer support experience to anyone looking for quality.,0.6697,0.16,0.54,0.4658,positive,0,0,0,0,1,0,trust,1
REV100088,This water bottle is poorly made and feels cheap. Never again.,Product Forum,water bottle,negative,2024-04-17,This water bottle is poorly made and feels cheap. Never again.,0.0,0.0,0.65,0.0,neutral,0,0,0,0,0,0,none,0
REV100089,The software update stopped working and support was unhelpful.,Product Forum,software update,negative,2024-04-05,The software update stopped working and support was unhelpful.,0.2023,0.0,0.0,0.1214,positive,0,0,0,0,0,0,none,0
REV100090,"I'm so happy with the gaming mouse, works perfectly and looks great.",Amazon Review,gaming mouse,positive,2024-12-23,"I'm so happy with the gaming mouse, works perfectly and looks great.",0.923,0.8667,0.9167,0.9005,positive,2,0,0,0,0,0,joy,2
REV100091,The kitchen blender is overpriced for such low quality. :(,News Headline,kitchen blender,negative,2024-12-05,The kitchen blender is overpriced for such low quality. :(,-0.6124,-0.25,0.6,-0.4674,negative,0,0,0,0,0,0,none,0
REV100092,"Terrible wireless headphones, broke after just two days of use.!!",Amazon Review,wireless headphones,negative,2024-02-26,"Terrible wireless headphones, broke after just two days of use.!!",-0.7568,-1.0,1.0,-0.8541,negative,0,0,0,0,0,0,none,0
REV100094,What a wonderful electric toothbrush! Great value for the price.,Facebook Comment,electric toothbrush,positive,2024-11-18,What a wonderful electric toothbrush! Great value for the price.,0.8883,0.9,0.875,0.893,positive,2,0,0,0,0,0,joy,2
REV100095,"Just unboxed the water bottle, will update this review later.",Twitter/X Post,water bottle,neutral,2024-05-08,"Just unboxed the water bottle, will update this review later.",0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100096,Comparing the restaurant chain to similar products on the market now.,Twitter/X Post,restaurant chain,neutral,2024-10-31,Comparing the restaurant chain to similar products on the market now.,0.0,0.0,0.4,0.0,neutral,0,0,0,0,0,0,none,0
REV100097,Great customer support experience! My whole family loves it.,Twitter/X Post,customer support experience,positive,2024-03-20,Great customer support experience! My whole family loves it.,0.8955,0.6,0.575,0.7773,positive,1,0,0,0,0,0,joy,1
REV100098,The streaming service arrived damaged and customer service ignored me.,Amazon Review,streaming service,negative,2024-01-13,The streaming service arrived damaged and customer service ignored me.,-0.6369,0.0,0.0,-0.3821,negative,0,0,0,0,0,0,none,0
REV100099,"Just unboxed the mobile app, will update this review later.",News Headline,mobile app,neutral,2024-07-22,"Just unboxed the mobile app, will update this review later.",0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100100,The customer service team was super helpful with my gaming mouse order.,Facebook Comment,gaming mouse,positive,2024-08-13,The customer service team was super helpful with my gaming mouse order.,0.7717,0.3333,0.6667,0.5964,positive,0,0,0,0,0,0,none,0
REV100101,"Terrible customer support experience, broke after just two days of use.",News Headline,customer support experience,negative,2024-07-05,"Terrible customer support experience, broke after just two days of use.",-0.4939,-1.0,1.0,-0.6963,negative,0,0,0,0,0,0,none,0
REV100102,The gaming mouse arrived on time and matches the description.,News Headline,gaming mouse,neutral,2024-12-29,The gaming mouse arrived on time and matches the description.,0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100103,I hate how unreliable this coffee maker turned out to be. Never again.,Amazon Review,coffee maker,negative,2024-09-05,I hate how unreliable this coffee maker turned out to be. Never again.,-0.5719,-0.8,0.9,-0.6631,negative,0,1,0,0,0,0,anger,1
REV100104,"Worst laptop stand I have ever bought, total regret.",News Headline,laptop stand,negative,2024-05-20,"Worst laptop stand I have ever bought, total regret.",-0.8016,-0.5,0.875,-0.681,negative,0,0,1,0,0,0,sadness,1
REV100106,"This coffee maker is a game changer, I use it every single day. Love it!",Amazon Review,coffee maker,positive,2024-05-01,"This coffee maker is a game changer, I use it every single day. Love it!",0.6696,0.0512,0.4048,0.4222,positive,1,0,0,0,0,0,joy,1
REV100107,"I'm impressed by how well the water bottle performs, truly outstanding.",Product Forum,water bottle,positive,2024-07-29,"I'm impressed by how well the water bottle performs, truly outstanding.",0.9022,0.75,0.9375,0.8413,positive,2,0,0,0,0,0,joy,2
REV100108,"The smartphone case does what it's supposed to do, nothing special.",Product Forum,smartphone case,neutral,2024-05-16,"The smartphone case does what it's supposed to do, nothing special.",-0.3089,0.3571,0.5714,-0.0425,neutral,0,0,0,0,0,0,none,0
REV100110,"Awful experience with the water bottle, would not recommend at all. Never again.",Facebook Comment,water bottle,negative,2024-12-04,"Awful experience with the water bottle, would not recommend at all. Never again.",-0.6261,-1.0,1.0,-0.7757,negative,0,0,0,0,1,0,trust,1
REV100111,The desk lamp arrived on time and matches the description.,News Headline,desk lamp,neutral,2024-12-25,The desk lamp arrived on time and matches the description.,0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100112,"Received the software update today, packaging was standard.",Product Forum,software update,neutral,2024-09-04,"Received the software update today, packaging was standard.",0.0,0.0,0.0,0.0,neutral,0,0,0,0,0,0,none,0
REV100113,The bluetooth speaker has some pros and cons worth mentioning.,Twitter/X Post,bluetooth speaker,neutral,2024-01-11,The bluetooth speaker has some pros and cons worth mentioning.,0.2263,0.3,0.1,0.2558,positive,0,0,0,0,0,0,none,0
REV100114,"I bought the smartphone case last week, still testing it out.",Twitter/X Post,smartphone case,neutral,2024-11-21,"I bought the smartphone case last week, still testing it out.",0.0,0.0,0.0667,0.0,neutral,0,0,0,0,0,0,none,0
REV100115,I hate how unreliable this restaurant chain turned out to be. 😡,News Headline,restaurant chain,negative,2024-06-02,I hate how unreliable this restaurant chain turned out to be.,-0.5719,-0.8,0.9,-0.6631,negative,0,1,0,0,0,0,anger,1
REV100116,"Excellent fitness tracker, exactly as described and super reliable.!!",News Headline,fitness tracker,positive,2024-08-23,"Excellent fitness tracker, exactly as described and super reliable.!!",0.8829,0.5903,0.6389,0.7659,positive,1,0,0,0,1,0,joy,2
REV100117,"I'm so disappointed with this customer support experience, complete waste of money. 😡",News Headline,customer support experience,negative,2024-02-27,"I'm so disappointed with this customer support experience, complete waste of money.",-0.5413,-0.2833,0.3833,-0.4381,negative,0,0,1,0,0,0,sadness,1
REV100118,Great air purifier! My whole family loves it.,Amazon Review,air purifier,positive,2024-12-24,Great air purifier! My whole family loves it.,0.8439,0.6,0.575,0.7463,positive,1,0,0,0,0,0,joy,1
REV100119,The delivery service stopped working and support was unhelpful.,News Headline,delivery service,negative,2024-07-25,The delivery service stopped working and support was unhelpful.,0.2023,0.0,0.0,0.1214,positive,0,0,0,0,0,0,none,0
REV100120,"The wireless headphones is okay, not great but not bad either.",Product Forum,wireless headphones,neutral,2024-04-18,"The wireless headphones is okay, not great but not bad either.",0.4728,0.15,0.6389,0.3437,positive,1,0,0,0,0,0,joy,1
REV100121,"I'm impressed by how well the electric toothbrush performs, truly outstanding.",Amazon Review,electric toothbrush,positive,2024-03-02,"I'm impressed by how well the electric toothbrush performs, truly outstanding.",0.9022,0.75,0.9375,0.8413,positive,2,0,0,0,0,0,joy,2
REV100122,"Disappointing smartphone case, definitely returning it. Never again.",News Headline,smartphone case,negative,2024-03-11,"Disappointing smartphone case, definitely returning it. Never again.",-0.128,-0.3,0.6,-0.1968,negative,0,0,1,0,0,0,sadness,1
REV100123,"The fitness tracker works as expected, average performance overall.",News Headline,fitness tracker,neutral,2024-01-07,"The fitness tracker works as expected, average performance overall.",0.2732,-0.0833,0.2667,0.1306,positive,0,0,0,0,0,0,none,0
REV100124,This air purifier is poorly made and feels cheap. Never again.,Product Forum,air purifier,negative,2024-01-03,This air purifier is poorly made and feels cheap. Never again.,0.0,0.0,0.65,0.0,neutral,0,0,0,0,0,0,none,0
REV100125,I hate how unreliable this bluetooth speaker turned out to be.,Facebook Comment,bluetooth speaker,negative,2024-08-30,I hate how unreliable this bluetooth speaker turned out to be.,-0.5719,-0.8,0.9,-0.6631,negative,0,1,0,0,0,0,anger,1
REV100126,"The bluetooth speaker is okay, not great but not bad either.",Amazon Review,bluetooth speaker,neutral,2024-01-16,"The bluetooth speaker is okay, not great but not bad either.",0.4728,0.15,0.6389,0.3437,positive,1,0,0,0,0,0,joy,1
REV100127,Comparing the gaming mouse to similar products on the market now.,Facebook Comment,gaming mouse,neutral,2024-08-07,Comparing the gaming mouse to similar products on the market now.,0.0,0.0,0.4,0.0,neutral,0,0,0,0,0,0,none,0
REV100129,The airline stopped working and support was unhelpful.!!,Amazon Review,airline,negative,2024-11-03,The airline stopped working and support was unhelpful.!!,0.3365,0.0,0.0,0.2019,positive,0,0,0,0,0,0,none,0
REV100130,"The restaurant chain meets the basic requirements, nothing more.",Twitter/X Post,restaurant chain,neutral,2024-04-30,"The restaurant chain meets the basic requirements, nothing more.",0.0,0.25,0.3125,0.1,positive,0,0,0,0,0,0,none,0
